DOID_9643	MONDO_0005661
DOID_0080356	MONDO_0017287
DOID_11558	MONDO_0001313
DOID_0110592	MONDO_0014853
DOID_7479	MONDO_0004236
DOID_1931	MONDO_0002150
DOID_0060589	MONDO_0008995
DOID_5636	MONDO_0006134
DOID_0110025	MONDO_0014189
DOID_0050767	MONDO_0000446
DOID_0110395	MONDO_0014653
DOID_12129	MONDO_0005452
DOID_0110107	MONDO_0011938
DOID_0111040	MONDO_0010362
DOID_4691	MONDO_0003098
DOID_11555	MONDO_0005321
DOID_6514	MONDO_0003907
DOID_3186	MONDO_0002543
DOID_1751	MONDO_0002096
DOID_3809	MONDO_0002778
DOID_10567	MONDO_0001066
DOID_10328	MONDO_0008346
DOID_0070011	MONDO_0013922
DOID_7266	MONDO_0004166
DOID_0080120	MONDO_0012301
DOID_9111	MONDO_0005446
DOID_13972	MONDO_0001850
DOID_1587	MONDO_0002048
DOID_0070093	MONDO_0014092
DOID_0110431	MONDO_0011482
DOID_0090004	MONDO_0008827
DOID_8729	MONDO_0005850
DOID_6943	MONDO_0006621
DOID_0070267	MONDO_0014789
DOID_9383	MONDO_0004773
DOID_0080191	MONDO_0017623
DOID_3596	MONDO_0020552
DOID_0050996	MONDO_0014476
DOID_6658	MONDO_0003960
DOID_11105	MONDO_0007639
DOID_5776	MONDO_0003645
DOID_1217	MONDO_0005759
DOID_5675	MONDO_0045059
DOID_0110709	MONDO_0014384
DOID_2468	MONDO_0005485
DOID_929	MONDO_0004746
DOID_4885	MONDO_0005708
DOID_0111236	MONDO_0009667
DOID_13271	MONDO_0009902
DOID_0110362	MONDO_0013328
DOID_0111291	MONDO_0013057
DOID_0060114	MONDO_0000647
DOID_8927	MONDO_0004681
DOID_0090048	MONDO_0012789
DOID_5598	MONDO_0006208
DOID_5614	MONDO_0005328
DOID_3499	MONDO_0002667
DOID_0111600	MONDO_0020820
DOID_0050131	MONDO_0044762
DOID_11599	MONDO_0007753
DOID_1425	MONDO_0001922
DOID_0110615	MONDO_0014203
DOID_0080432	MONDO_0033369
DOID_0050117	MONDO_0005550
DOID_0110933	MONDO_0015023
DOID_2401	MONDO_0002290
DOID_9801	MONDO_0006000
DOID_0050201	MONDO_0000284
DOID_5557	MONDO_0010108
DOID_0070350	MONDO_0032660
DOID_0111402	MONDO_0009658
DOID_0110785	MONDO_0010418
DOID_1726	MONDO_0002088
DOID_3261	MONDO_0007818
DOID_12972	MONDO_0001607
DOID_11260	MONDO_0019173
DOID_0110640	MONDO_0013178
DOID_1098	MONDO_0006760
DOID_4594	MONDO_0003058
DOID_3721	MONDO_0005615
DOID_13787	MONDO_0001799
DOID_0060157	MONDO_0000687
DOID_0050742	MONDO_0008575
DOID_13868	MONDO_0001821
DOID_0110556	MONDO_0012902
DOID_0111504	MONDO_0012233
DOID_10834	MONDO_0001135
DOID_0111598	MONDO_0013698
DOID_11262	MONDO_0005888
DOID_0050129	MONDO_0000249
DOID_0110247	MONDO_0013484
DOID_0080437	MONDO_0014598
DOID_1439	MONDO_0001953
DOID_0070124	MONDO_0024264
DOID_0050729	MONDO_0015611
DOID_0111039	MONDO_0013404
DOID_7532	MONDO_0004267
DOID_0080278	MONDO_0033309
DOID_6938	MONDO_0004045
